Variable,Subject,Grade,Year,Jurisdiction,Grouping,Mean,SD,N,Cohen's d
First Language Learned,SAT - ERW,NA,2023,US,English Only,537.0,110.0,1047520.0,
First Language Learned,SAT - Math,NA,2023,US,English Only,517.0,122.0,1047520.0,
First Language Learned,SAT - Total,NA,2023,US,English Only,1054.0,221.0,1047520.0,
Gender,SAT - ERW,NA,2023,US,Female,523.0,110.0,966726.0,0.0
Gender,SAT - Math,NA,2023,US,Female,500.0,122.0,966726.0,0.0
Gender,SAT - Total,NA,2023,US,Female,1023.0,221.0,966726.0,0.0
Gender,SAT - ERW,NA,2023,US,Male,517.0,110.0,936481.0,-0.05454545454545454
Gender,SAT - Math,NA,2023,US,Male,515.0,122.0,936481.0,0.12295081967213115
Gender,SAT - Total,NA,2023,US,Male,1032.0,221.0,936481.0,0.04072398190045249
Race/Ethnicity,SAT - ERW,NA,2023,US,White,550.0,110.0,752632.0,0.0
Race/Ethnicity,SAT - Math,NA,2023,US,White,532.0,122.0,752632.0,0.0
Race/Ethnicity,SAT - Total,NA,2023,US,White,1082.0,221.0,752632.0,0.0
Median Family Income,SAT - ERW,NA,2023,US,"Highest Quintile (>$113,341)",580.0,110.0,504985.0,
Median Family Income,SAT - Math,NA,2023,US,"Highest Quintile (>$113,341)",569.0,122.0,504985.0,
Median Family Income,SAT - Total,NA,2023,US,"Highest Quintile (>$113,341)",1148.0,221.0,504985.0,
Parent Education,SAT - ERW,NA,2023,US,Bachelor's Degree,558.0,110.0,493158.0,
Parent Education,SAT - Math,NA,2023,US,Bachelor's Degree,549.0,122.0,493158.0,
Parent Education,SAT - Total,NA,2023,US,Bachelor's Degree,1107.0,221.0,493158.0,
Race/Ethnicity,SAT - ERW,NA,2023,US,Hispanic,482.0,110.0,462186.0,-0.6181818181818182
Race/Ethnicity,SAT - Math,NA,2023,US,Hispanic,461.0,122.0,462186.0,-0.5819672131147541
Race/Ethnicity,SAT - Total,NA,2023,US,Hispanic,943.0,221.0,462186.0,-0.6289592760180995
Parent Education,SAT - ERW,NA,2023,US,No Response,448.0,110.0,421411.0,
Parent Education,SAT - Math,NA,2023,US,No Response,433.0,122.0,421411.0,
Parent Education,SAT - Total,NA,2023,US,No Response,881.0,221.0,421411.0,
Parent Education,SAT - ERW,NA,2023,US,Graduate Degree,594.0,110.0,408482.0,
Parent Education,SAT - Math,NA,2023,US,Graduate Degree,588.0,122.0,408482.0,
Parent Education,SAT - Total,NA,2023,US,Graduate Degree,1181.0,221.0,408482.0,
Parent Education,SAT - ERW,NA,2023,US,High School Diploma,492.0,110.0,384502.0,
Parent Education,SAT - Math,NA,2023,US,High School Diploma,473.0,122.0,384502.0,
Parent Education,SAT - Total,NA,2023,US,High School Diploma,966.0,221.0,384502.0,
Median Family Income,SAT - ERW,NA,2023,US,Unknown,502.0,110.0,384188.0,
Median Family Income,SAT - Math,NA,2023,US,Unknown,510.0,122.0,384188.0,
Median Family Income,SAT - Total,NA,2023,US,Unknown,1012.0,221.0,384188.0,
First Language Learned,SAT - ERW,NA,2023,US,No Response,460.0,110.0,342073.0,
First Language Learned,SAT - Math,NA,2023,US,No Response,444.0,122.0,342073.0,
First Language Learned,SAT - Total,NA,2023,US,No Response,904.0,221.0,342073.0,
Median Family Income,SAT - ERW,NA,2023,US,"2nd Highest Quintile ($86,074-$113,340)",529.0,110.0,337245.0,
